# Duplicate candidate windows by flavour

| Count | Fixture                                          | First                                                                                       | Duplicates                                                                                                                                                                                                                                                                          | Detail                            | Fingerprint                                                                                               |
| 2     | flavour_ca0e097532df38073a8c29bf2e70f091794311aa | Zend/tests/type_declarations/scalar_return_basic.phpt:58                                    | Zend/tests/type_declarations/scalar_return_basic_64bit.phpt:58                                                                                                                                                                                                                      | message_only/fixable              | message_only:0240e8b487b53e90433e92d7045a24202e011dd0                                                     |
| 2     | flavour_c57f3a1d7b8ef1e27f8139c4e807eb5f923c7fff | ext/standard/tests/strings/printf.phpt:45                                                   | ext/standard/tests/strings/printf_64bit.phpt:45                                                                                                                                                                                                                                     | message_only/fixable              | message_only:0aaa03c325d1bebdfa8c891eb2e355a4381bde9e\|context:previous-none:following-moved:trace-none   |
| 3     | flavour_40bd7d57ed24da7bae6afa626a334dff3c0484d7 | Zend/tests/match/043.phpt:12                                                                | Zend/tests/match/048.phpt:14, Zend/tests/match/049.phpt:14                                                                                                                                                                                                                          | message_only/fixable              | message_only:1e7c085c70a4c2c06907a5f25d19a27a8a2863d3                                                     |
| 54    | flavour_c3990013ba90e326b49fcc550f736b98ba3e695b | Zend/tests/type_declarations/typed_properties_068.phpt:31                                   | Zend/tests/type_declarations/typed_properties_068.phpt:36, Zend/tests/type_declarations/typed_properties_068.phpt:47, Zend/tests/type_declarations/typed_properties_068.phpt:52, +50 more                                                                                           | message_only/fixable              | message_only:268674bfd072bc77e681ed33d6350ff4d4102290                                                     |
| 9     | flavour_8c6798e0dd2a1f040554bb1c26934d1780572ae1 | Zend/tests/type_declarations/internal_function_strict_mode.phpt:11                          | Zend/tests/type_declarations/internal_function_strict_mode.phpt:18, Zend/tests/type_declarations/internal_function_strict_mode.phpt:25, Zend/tests/type_declarations/scalar_basic.phpt:56, +5 more                                                                                  | message_only/fixable              | message_only:2e6256b9536f488f7b1334536b1570e036d26113                                                     |
| 16    | flavour_92c8cb8ddd21518499d3cc6affd9306e0a0ebb7d | Zend/tests/attributes/deprecated/class_constants/deprecated_constant_as_message_002.phpt:24 | Zend/tests/attributes/deprecated/class_constants/deprecated_constant_as_message_002.phpt:30, Zend/tests/attributes/deprecated/constants/deprecated_constant_as_message_002.phpt:22, Zend/tests/attributes/deprecated/constants/deprecated_constant_as_message_002.phpt:28, +12 more | message_only/fixable              | message_only:37b46e9e3d54a293cc4c1198ea360cc4eb33b998                                                     |
| 7     | flavour_574e698e78c73424d4459090bdbd849f9cdd8166 | ext/standard/tests/array/gh16649/array_splice_uaf_add_elements.phpt:18                      | ext/standard/tests/array/gh16649/array_splice_uaf_array_deallocated.phpt:18, ext/standard/tests/array/gh16649/array_splice_uaf_complex_modification.phpt:21, ext/standard/tests/array/gh16649/array_splice_uaf_multiple_destructors.phpt:27, +3 more                                | message_only/fixable              | message_only:4410ed02e50bd4e8a7cebc5b4058b4b57c31f65c                                                     |
| 3     | flavour_26708943f884603ee4b46dd0c981807f88b778c1 | ext/dom/tests/DOMNode_removeChild_error1.phpt:17                                            | ext/dom/tests/DOMNode_replaceChild_error1.phpt:18, ext/dom/tests/DOMNode_replaceChild_error2.phpt:16                                                                                                                                                                                | message_only/fixable              | message_only:4bead76507738369429d435fded3974a1e9f3aec                                                     |
| 2     | flavour_fa3ccc1c603a2b71361df058537f1fe2d84c596e | Zend/tests/generators/generator_throwing_during_function_call.phpt:23                       | Zend/tests/generators/generator_throwing_exception.phpt:19                                                                                                                                                                                                                          | message_only/fixable              | message_only:580ab396550827b40fa0b55d41ddfed33073a816                                                     |
| 12    | flavour_c4d7a27cef33bb906f04afad457132110f780562 | ext/com_dotnet/tests/bug77177.phpt:13                                                       | ext/com_dotnet/tests/bug77177.phpt:22, ext/com_dotnet/tests/bug77177.phpt:31, ext/com_dotnet/tests/bug77177_dotnet.phpt:15, +8 more                                                                                                                                                 | message_only/fixable              | message_only:5b2ab1069931f859578a2abddc5205597340500c                                                     |
| 97    | flavour_574e698e78c73424d4459090bdbd849f9cdd8166 | Zend/tests/add_002.phpt:14                                                                  | Zend/tests/add_003.phpt:14, Zend/tests/add_004.phpt:11, Zend/tests/add_007.phpt:13, +93 more                                                                                                                                                                                        | message_only/fixable              | message_only:5b568b811e5cdfd1c02042b9f73b9301bcba069a                                                     |
| 2     | flavour_574e698e78c73424d4459090bdbd849f9cdd8166 | ext/standard/tests/file/file_error.phpt:13                                                  | ext/standard/tests/file/file_error.phpt:18                                                                                                                                                                                                                                          | message_only/fixable              | message_only:5e96eed4674baf63765bef0599325d47a7a6df2a                                                     |
| 404   | flavour_bfbf06a823d9a93af3f71495cd5e93b7e20e986a | Zend/tests/add_006.phpt:18                                                                  | Zend/tests/add_006.phpt:33, Zend/tests/bug31098.phpt:23, Zend/tests/bug31098.phpt:34, +400 more                                                                                                                                                                                     | message_only/fixable              | message_only:64a29ff7eafbf5987dd02c1c1cef64d134ff46c6                                                     |
| 15    | flavour_667dec87d1a924ea09e6c7baa5dcf109ce6f9dde | ext/pdo_firebird/tests/autocommit.phpt:39                                                   | ext/pdo_firebird/tests/autocommit.phpt:46, ext/pdo_firebird/tests/autocommit_change_mode.phpt:46, ext/pdo_firebird/tests/autocommit_change_mode.phpt:54, +11 more                                                                                                                   | message_only/fixable              | message_only:76a960474bbd083b5f59edf3fe0334bb56f9c65d                                                     |
